segment,default_event
Northeast_<580,0.25472743973900097
Northeast_nan,0.18695652173913044
Pacific_<580,0.1256875531613269
Southwest_<580,0.12105661647177589
Northeast_740-799,0.10566777208320771
Northeast_580-669,0.10477548111190306
Northeast_800+,0.10014229811454999
Northeast_670-739,0.0992499330297348
Southeast_<580,0.0954987496526813
Southwest_nan,0.08890374331550802
Pacific_nan,0.08269230769230769
Southeast_nan,0.0675
Southwest_580-669,0.05288545869145764
Southwest_800+,0.051492191124168855
Pacific_670-739,0.051113875381657806
Southwest_670-739,0.05094549499443826
Pacific_580-669,0.05033881897386254
Pacific_740-799,0.05012400469912544
Southwest_740-799,0.049820236260914225
Pacific_800+,0.049247176913425346
Southeast_800+,0.03263509411050395
Southeast_670-739,0.03260748185371301
Southeast_740-799,0.030166301405182415
Southeast_580-669,0.02929519214199552
